participant_id,age,gender,nationality,language_experience,condition_order,session_id,marker_id,object_name,target_word,modality,phase,word_shown_at,recall_id,audio_file_path,voice_recorded_at
6,23,m,Spanish,"Spanish, Catalan, English, French, German",ar-first,61,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:08:03,60.0,voice_recordings/P006_20251212_170808_919_CUCUMBER_ID_5_castravete.m4a,2025-12-12 16:08:08
6,23,m,Spanish,"Spanish, Catalan, English, French, German",ar-first,62,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:08:12,61.0,voice_recordings/P006_20251212_170819_372_SPOON_ID_4_lingură.m4a,2025-12-12 16:08:19
7,23,m,Italian,"Italian, English",ar-first,67,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 16:14:32,66.0,voice_recordings/P007_20251212_171438_159_SHOES_ID_3_pantofi.m4a,2025-12-12 16:14:38
7,23,m,Italian,"Italian, English",ar-first,68,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 16:14:44,67.0,voice_recordings/P007_20251212_171449_695_APPLE_ID_2_măr.m4a,2025-12-12 16:14:49
7,23,m,Italian,"Italian, English",ar-first,69,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 16:15:01,68.0,voice_recordings/P007_20251212_171506_603_CUP_ID_1_cupă.m4a,2025-12-12 16:15:06
7,23,m,Italian,"Italian, English",ar-first,70,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:15:16,69.0,voice_recordings/P007_20251212_171523_945_JACKET_ID_6_jachetă.m4a,2025-12-12 16:15:23
7,23,m,Italian,"Italian, English",ar-first,71,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:15:31,70.0,voice_recordings/P007_20251212_171537_158_CUCUMBER_ID_5_castravete.m4a,2025-12-12 16:15:37
7,23,m,Italian,"Italian, English",ar-first,72,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:15:47,71.0,voice_recordings/P007_20251212_171552_101_SPOON_ID_4_lingură.m4a,2025-12-12 16:15:52
8,23,m,Italian,"Italian, English, Spanish, German",ar-first,76,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 16:20:05,75.0,voice_recordings/P008_20251212_172013_332_SHOES_ID_3_pantofi.m4a,2025-12-12 16:20:13
8,23,m,Italian,"Italian, English, Spanish, German",ar-first,77,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 16:20:19,76.0,voice_recordings/P008_20251212_172025_032_APPLE_ID_2_măr.m4a,2025-12-12 16:20:25
8,23,m,Italian,"Italian, English, Spanish, German",ar-first,78,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 16:20:29,77.0,voice_recordings/P008_20251212_172034_822_CUP_ID_1_cupă.m4a,2025-12-12 16:20:34
